Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count,Sequence
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,introduction to motion,5ec5867a0c88fe5860961943,cbse--6th cbse--science--physics--motion and measurement of distances--introduction to motion,10.0,36.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,inertia and mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--inertia and mass,7.0,44.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,kinetic energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--kinetic energy",1.0,45.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,potential energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--potential energy",6.0,46.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion--motion,1.0,52.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,torque,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion--torque,7.0,61.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,periodic and oscillatory motions,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--oscillations and waves--oscillations--periodic and oscillatory motions,4.0,126.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,simple harmonic motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--oscillations and waves--oscillations--simple harmonic motion,14.0,127.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,speed and velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--speed and velocity,9.0,18.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,scalars and vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--scalars and vectors,18.0,22.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,force,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--force,1.0,29.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,newton's second law of motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--newton's second law of motion,10.0,32.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,common forces in mechanics,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--common forces in mechanics,12.0,35.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,work,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--work",11.0,43.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,inertia and mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--inertia and mass,7.0,44.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,kinetic energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--kinetic energy",1.0,45.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,potential energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--potential energy",6.0,46.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--gravitation,introduction to gravitation,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--gravitation--introduction to gravitation,13.0,48.0
